# block key slot
B2 microsoft/UFO cu_harness_windows
B2 microsoft/OmniParser screen_parser
B2 simular-ai/Agent-S cu_harness
B2 xlang-ai/OpenCUA cu_model_harness
B2 trycua/cua cu_harness_sandbox
B2 showlab/ShowUI grounding_model
B2 bytedance/UI-TARS grounding_model
B2 bytedance/UI-TARS-desktop cu_app
B2 Jeomon/Windows-Use windows_agent
B2 CursorTouch/Windows-MCP windows_mcp
B2 SuperMarioYL/uia-agent windows_agent_uia
B2 lessenings-prog/OpenGUI windows_service_uia
B2 alessiobianchini/DesktopAgent windows_agent_dotnet
B2 MinKPark/heronwin windows_mcp_dotnet
B2 Chethan616/Dex windows_personal_agent
B2 Geisterhand-io/windows windows_http_uia
B2 OthersideAI/self-operating-computer cu_vision_legacy
B2 KingSahil/Blinky visual_supervisor_windows
B2 mo-tunn/OpenGuider visual_supervisor
B2 r-muresan/screen.vision visual_supervisor_web
B2 aiagentwithdhruv/screen-sage visual_supervisor_web
B2 Han1018/ZonUI-3B grounding_model_small
B2 OS-Copilot/OS-Copilot cu_harness_legacy
B2 e2b-dev/open-computer-use cu_harness
B2 anthropics/anthropic-quickstarts cu_reference
B2 openai/openai-cua-sample-app cu_reference
B2 mediar-ai/screenpipe screen_recorder_ocr
B2 microsoft/magentic-ui cu_hitl_ui
B2 HKUDS/nanobot agent_minimal
B2 agentsea/surfkit cu_toolkit
B3 yinkaisheng/Python-UIAutomation-for-Windows uia_driver
B3 pywinauto/pywinauto uia_driver
B3 FlaUI/FlaUI uia_driver_dotnet
B3 asweigart/pyautogui input
B3 moses-palmer/pynput input
B3 BoboTiG/python-mss screenshot
B3 ra1nty/DXcam screenshot
B3 AutoHotkey/AutoHotkey scripting
B3 microsoft/playwright browser
B3 microsoft/playwright-mcp browser_mcp
B3 browser-use/browser-use browser_agent
B3 Skyvern-AI/skyvern browser_agent
B3 browserbase/stagehand browser_agent
B3 nottelabs/notte browser_agent
B3 unclecode/crawl4ai crawler
B3 wonderwhy-er/DesktopCommanderMCP terminal_fs_mcp
B4 microsoft/autogen orchestration
B4 crewAIInc/crewAI roles
B4 langchain-ai/langgraph graph
B4 huggingface/smolagents minimal
B4 openai/openai-agents-python handoff
B4 google/adk-python orchestration
B4 pydantic/pydantic-ai typed
B4 agno-agi/agno orchestration
B4 mastra-ai/mastra orchestration_ts
B4 camel-ai/camel roles
B4 geekan/MetaGPT roles
B4 anthropics/claude-agent-sdk-python runtime
B4 openclaw/openclaw personal_assistant
B4 NousResearch/hermes-agent personal_assistant
B4 All-Hands-AI/OpenHands coding_agent
B4 kyegomez/swarms hype_check
B4 ruvnet/claude-flow hype_check
B5 assafelovic/gpt-researcher deep_research
B5 langchain-ai/open_deep_research deep_research
B5 dzhng/deep-research deep_research
B5 bytedance/deer-flow deep_research
B5 camel-ai/owl deep_research
B5 mendableai/firecrawl search_layer
B5 searxng/searxng search_layer
B5 jina-ai/node-DeepResearch deep_research
B6 mem0ai/mem0 vector_memory
B6 getzep/graphiti graph_memory
B6 letta-ai/letta agent_memory_os
B6 langchain-ai/langmem memory_lib
B6 topoteretes/cognee graph_memory
B6 MemTensor/MemOS memory_os
B6 basicmachines-co/basic-memory local_md_memory_mcp
B6 doobidoo/mcp-memory-service memory_mcp
B6 supermemoryai/supermemory memory_saas
B6 khoj-ai/khoj personal_ai_memory
B6 modelscope/MemoryScope memory_lib
B6 memmachine/memmachine memory_lib
B6 vectorize-io/hindsight memory_lib
B7 modelcontextprotocol/servers official_mcp
B7 modelcontextprotocol/python-sdk mcp_sdk
B7 jlowin/fastmcp mcp_sdk
B7 github/github-mcp-server official_mcp
B7 stacklok/toolhive mcp_runtime
B7 Sushank05/mcp-doorman mcp_gateway
B7 hoophq/mcpproxy mcp_gateway
B7 maksym-mishchenko/mcpgate mcp_gateway
B7 kphatak001/mcpfw mcp_gateway
B7 tonyc973/mcp-shield mcp_gateway
B7 niradler/fast-mcp-gateway mcp_gateway
B7 piyushptiwari1/mcpkernel mcp_gateway
B7 invariantlabs-ai/mcp-scan mcp_scanner
B7 sparfenyuk/mcp-proxy mcp_transport
B7 microsoft/agent-governance-toolkit governance
B8 hesreallyhim/awesome-claude-code meta
B8 anthropics/skills official_skills
B8 obra/superpowers skills_system
B8 thedoublejay/please-optimize-my-claude claudemd_optimizer
B8 severity1/claude-code-prompt-improver prompt_improver
B8 KimHance/claude-config-helper config_optimizer
B8 sujayopensource/claude-cost-optimizer token_optimizer
B8 Banner-Wang/prompt-smith prompt_optimizer
B8 xanthar/claude-harness harness
B8 stevesolun/ctx context_optimizer
B8 stanfordnlp/dspy prompt_optimizer_eval
B8 promptfoo/promptfoo prompt_eval
B8 microsoft/PromptWizard prompt_optimizer
B8 ryoppippi/ccusage token_measure
B8 disler/claude-code-hooks-mastery hooks
B8 affaan-m/everything-claude-code hooks_skills
B8 davila7/claude-code-templates templates
B8 SuperClaude-Org/SuperClaude_Framework hype_check
B8 bmad-code-org/BMAD-METHOD hype_check
B8 Pimzino/claude-code-spec-workflow workflow
B9 anthropic-experimental/sandbox-runtime os_sandbox
B9 TarunKurella/sandboxrs-windows windows_sandbox
B9 TheUser99-spec/Phylax windows_acl
B9 jarkkojs/landstrip os_sandbox
B9 teckwin/sandbox os_sandbox
B9 Convira/convira-sandbox os_sandbox
